Reporter Identifier,VALUE
GE_BrightCorner,47908.710000
DarkCorner,-7.586096
DarkCorner,-5.949368
DarkCorner,-7.885046
DarkCorner,-4.989494
DarkCorner,-6.079530
DarkCorner,-6.734365
DarkCorner,-3.986815
DarkCorner,-0.896954
DarkCorner,1.783419
DarkCorner,3.897955
A_24_P66027,40.480840
A_32_P77178,27.922480
A_23_P212522,2067.537000
A_24_P934473,21.630640
A_24_P9671,6073.019000
A_32_P29551,45.657870
A_24_P801451,115.674800
A_32_P30710,39267.930000
A_32_P89523,24.123130
A_24_P704878,10.732620
A_32_P86028,32817.690000
A_24_P470079,29.211360
A_23_P65830,1003.439000
A_23_P109143,6182.811000
A_24_P595567,4.402047
A_24_P391591,42.475300
A_24_P799245,1.257798
A_24_P932757,0.950653
A_24_P835500,124.671200
A_23_P54340,26.775960
A_23_P67555,246.834700
A_24_P286412,42.358180
A_24_P229084,13.287420
A_23_P202696,786.594900
A_24_P927716,109.947600
A_23_P124837,102.690400
A_24_P329635,667.066500
AT_D_3,-8.850172
A_23_P148439,316.452700
A_23_P137931,-10.393910
A_23_P203819,4110.157000
A_32_P198868,-6.721440
A_24_P687,6.069245
A_23_P253052,560.186500
A_32_P139302,34.693610
A_23_P201647,1442.543000
A_24_P350557,2.119424
A_23_P146584,387.576100
A_24_P289607,0.976450
A_32_P54289,90.922530
A_23_P77000,115.714500
A_23_P111020,117.229600
A_32_P103558,758.820200
A_32_P235289,27.882150
A_32_P22191,82.547910
A_24_P253251,1680.363000
A_24_P52168,84.026490
A_24_P530900,73.807620
A_23_P391894,20.557640
A_24_P209571,21564.680000
A_24_P148907,345.880400
A_24_P6825,13.810880
A_23_P149281,379.982600
A_23_P104098,215.503700
A_24_P151920,139.994100
A_24_P252223,691.512800
A_32_P141065,123.805500
A_23_P217015,436.300500
A_32_P188888,33.250150
A_23_P135381,764.786100
A_23_P151294,13.007730
A_32_P149011,86.890870
A_32_P156549,2349.439000
DarkCorner,10.943110
DarkCorner,128.991800
