Reporter Identifier	VALUE
GE_BrightCorner	6.740219e+004
DarkCorner	7.029085e+002
DarkCorner	1.745103e+001
DarkCorner	9.602791e+000
DarkCorner	6.014834e+000
DarkCorner	8.570792e-001
DarkCorner	2.454133e+000
DarkCorner	1.539736e+000
DarkCorner	-2.061588e+000
DarkCorner	-1.685627e+000
DarkCorner	-7.903554e-001
A_24_P66027	3.503733e+001
A_32_P77178	9.714973e+000
A_23_P212522	1.295269e+003
A_24_P934473	8.147344e+000
A_24_P9671	5.878164e+003
A_32_P29551	4.655974e+001
A_24_P801451	5.856895e+001
A_32_P30710	2.393234e+004
A_32_P89523	1.534087e+001
A_24_P704878	1.346093e+001
A_32_P86028	2.134779e+004
A_24_P470079	1.838640e+001
A_23_P65830	7.928884e+002
A_23_P109143	3.132148e+003
A_24_P595567	4.742310e+000
A_24_P391591	5.601590e+001
A_24_P799245	-1.821961e+000
A_24_P932757	-3.313853e+000
A_24_P835500	1.158577e+002
A_23_P54340	1.719717e+001
A_23_P67555	2.493543e+002
A_24_P286412	4.965897e+001
A_24_P229084	1.387571e+000
A_23_P202696	4.298154e+002
A_24_P927716	8.954135e+001
A_23_P124837	2.905244e+001
A_24_P329635	9.739808e+002
AT_D_3	-4.028587e+000
A_23_P148439	5.181524e+002
A_23_P137931	-1.934337e+000
A_23_P203819	4.674785e+003
A_32_P198868	8.675235e-002
A_24_P687	1.318127e+000
A_23_P253052	7.339929e+002
A_32_P139302	3.819074e+001
A_23_P201647	8.934481e+002
A_24_P350557	-9.676961e-001
A_23_P146584	2.331729e+002
A_24_P289607	-1.435792e+000
A_32_P54289	9.132219e+001
A_23_P77000	9.883687e+001
A_23_P111020	7.955883e+001
A_32_P103558	5.730472e+002
A_32_P235289	1.709129e+001
A_32_P22191	9.676844e+001
A_24_P253251	1.298432e+003
A_24_P52168	7.359007e+001
A_24_P530900	3.742526e+001
A_23_P391894	7.029021e+000
A_24_P209571	8.698744e+003
A_24_P148907	8.961222e+002
A_24_P6825	4.870771e+000
A_23_P149281	3.415670e+002
A_23_P104098	5.132692e+001
A_24_P151920	8.401565e+001
A_24_P252223	7.293625e+002
A_32_P141065	1.065179e+002
A_23_P217015	4.247064e+002
A_32_P188888	2.763850e+001
A_23_P135381	7.900288e+002
A_23_P151294	-1.074130e+000
A_32_P149011	8.296637e+001
A_32_P156549	1.641504e+003
DarkCorner	-4.648803e+000
DarkCorner	-5.270266e+000
DarkCorner	-1.744605e+000
DarkCorner	-3.846095e+000
DarkCorner	-2.336331e+000
DarkCorner	-1.119625e+000
DarkCorner	-1.757886e+000
DarkCorner	-2.344261e+000
DarkCorner	-6.423269e-001
GE_BrightCorner	9.003395e+004
GE_BrightCorner	8.994025e+004
GE_BrightCorner	7.744296e+004
DarkCorner	3.187077e+002
DarkCorner	-1.369056e+000
DarkCorner	6.546845e+000
DarkCorner	1.624253e+000
DarkCorner	5.664676e-001
DarkCorner	-1.774033e-001
DarkCorner	-1.377919e+000
DarkCorner	1.603547e-002
DarkCorner	-3.327396e+000
A_23_P215419	2.743742e+001
A_23_P145874	1.143149e+001
AT_ssH_TR_5	7.402654e+000
A_23_P127662	3.253080e+001
A_23_P253029	1.478647e+003
A_32_P125233	2.115915e+001
A_24_P298846	3.189420e+002
A_23_P141315	4.624710e+002
A_23_P87351	7.342116e+003
AT_ssH_PC_3	9.794675e+002
A_23_P155677	8.742843e+002
A_24_P938342	-4.512954e+000
A_24_P131173	1.074926e+001
A_32_P76091	1.523347e+002
A_24_P50489	1.081518e+004
A_24_P276932	8.396081e+002
A_24_P838448	1.400095e+002
A_23_P337746	5.613025e+001
A_23_P216689	3.019204e+002
A_24_P208897	1.188588e+000
A_24_P42557	1.881954e+000
(+)E1A_r60_3	2.615671e+000
A_23_P93295	7.011527e+000
A_24_P926770	2.272706e+002
A_23_P67355	1.380211e+002
A_23_P48487	6.280196e+001
A_23_P204947	1.999647e+004
A_24_P50738	1.576063e-001
A_24_P624263	8.941816e+000
A_23_P351328	2.137920e+001
A_23_P129829	5.172709e+003
A_23_P142688	3.013709e+002
A_32_P10665	5.423209e+001
A_23_P53015	1.521221e+002
A_23_P56855	5.653440e+000
A_32_P184330	3.895227e+000
A_24_P212086	2.041061e+003
A_24_P373475	-1.101117e+000
A_23_P107597	2.155987e+001
ETG02_36680	-2.398600e+000
A_24_P394940	3.079312e+000
A_24_P912617	-2.607739e+000
A_23_P152107	6.229953e+003
A_23_P97584	4.651786e+003
A_32_P146113	7.445375e+000
(+)E1A_r60_a97	1.106334e+004
A_24_P305467	8.538132e+002
A_23_P426140	1.054485e+002
A_24_P356721	1.219213e+004
A_23_P356755	5.412850e+003
A_23_P379550	3.781295e+002
A_23_P345710	3.114550e+002
A_24_P719096	3.501617e+000
A_24_P343233	6.018669e+002
A_23_P408787	-2.359911e+000
A_23_P344655	5.724800e-001
A_23_P350678	-1.994175e+000
A_23_P397933	5.401159e+000
A_23_P145024	1.416835e+003
A_24_P104115	1.043721e+002
A_23_P433829	5.739207e+001
A_23_P110846	5.627740e+002
A_24_P910381	1.361767e+001
A_23_P110699	2.753494e+001
DarkCorner	-9.628192e-001
DarkCorner	-4.040362e+000
DarkCorner	-2.225057e+000
DarkCorner	-3.940825e+000
DarkCorner	-1.879038e+000
DarkCorner	-3.017228e-002
DarkCorner	-1.733998e+000
DarkCorner	-5.491488e+000
DarkCorner	-2.212019e+000
DarkCorner	-1.627670e+000
GE_BrightCorner	8.544579e+004
DarkCorner	6.532917e+000
DarkCorner	1.824525e+003
DarkCorner	1.218279e+002
DarkCorner	3.213698e+001
DarkCorner	-1.994232e+000
DarkCorner	3.359190e+000
